ohpi_id	ohpi_label	victor_id	ogg_iri	victor_gene_name	victor_pathogen_name	victor_pathogen_taxon	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name
OHPI_9000032	M. tuberculosis hspR mutant interaction with mouse	62	OGG_3000923545	hspR	M. tuberculosis	1773	mouse	10090				
OHPI_9000033	M. tuberculosis katG mutant interaction with mouse	63	OGG_3000923602	katG	M. tuberculosis	1773	mouse	10090				
OHPI_9000034	M. tuberculosis sodC mutant interaction with mouse	64	OGG_3000923760	sodC	M. tuberculosis	1773	mouse	10090				
OHPI_9000035	M. tuberculosis sodC mutant interaction with mouse macrophage cell	64	OGG_3000923760	sodC	M. tuberculosis	1773	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000036	M. tuberculosis mgtC mutant interaction with human	65	OGG_3000923776	mgtC	M. tuberculosis	1773	human	9606				
OHPI_9000037	M. tuberculosis mgtC mutant interaction with human macrophage cell	65	OGG_3000923776	mgtC	M. tuberculosis	1773	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000038	M. tuberculosis mgtC mutant interaction with mouse	65	OGG_3000923776	mgtC	M. tuberculosis	1773	mouse	10090				
OHPI_9000039	M. tuberculosis mgtC mutant interaction with mouse macrophage cell	65	OGG_3000923776	mgtC	M. tuberculosis	1773	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000040	M. tuberculosis senX3 mutant interaction with mouse	66	OGG_3000923873	senX3	M. tuberculosis	1773	mouse	10090				
OHPI_9000041	M. tuberculosis regX3 mutant interaction with mouse	67	OGG_3000923874	regX3	M. tuberculosis	1773	mouse	10090				
OHPI_9000042	M. tuberculosis proC mutant interaction with mouse	68	OGG_3000923905	proC	M. tuberculosis	1773	mouse	10090				
OHPI_9000043	M. tuberculosis trpD mutant interaction with mouse	69	OGG_3000924178	trpD	M. tuberculosis	1773	mouse	10090				
OHPI_9000044	M. tuberculosis lspA mutant interaction with mouse	70	OGG_3000924361	lspA	M. tuberculosis	1773	mouse	10090				
OHPI_9000045	M. tuberculosis sigC mutant interaction with mouse	71	OGG_3000924601	sigC	M. tuberculosis	1773	mouse	10090				
OHPI_9000046	M. tuberculosis sigE mutant interaction with human	72	OGG_3000924814	sigE	M. tuberculosis	1773	human	9606				
OHPI_9000047	M. tuberculosis sigE mutant interaction with human macrophage cell	72	OGG_3000924814	sigE	M. tuberculosis	1773	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000048	M. tuberculosis sigE mutant interaction with mouse	72	OGG_3000924814	sigE	M. tuberculosis	1773	mouse	10090				
OHPI_9000049	M. tuberculosis sigE mutant interaction with mouse macrophage cell	72	OGG_3000924814	sigE	M. tuberculosis	1773	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000050	M. tuberculosis leuD mutant interaction with mouse	73	OGG_3000925207	leuD	M. tuberculosis	1773	mouse	10090				
OHPI_9000051	M. tuberculosis cysH mutant interaction with mouse	76	OGG_3000925884	cysH	M. tuberculosis	1773	mouse	10090				
OHPI_9000052	M. tuberculosis mma4 mutant interaction with mouse	77	OGG_3000925954	mma4	M. tuberculosis	1773	mouse	10090				
OHPI_9000053	M. tuberculosis sigL mutant interaction with mouse	78	OGG_3000926053	sigL	M. tuberculosis	1773	mouse	10090				
OHPI_9000054	M. tuberculosis erp mutant interaction with mouse	79	OGG_3000926330	erp	M. tuberculosis	1773	mouse	10090				
OHPI_9000055	M. tuberculosis panC mutant interaction with mouse	80	OGG_3000926524	panC	M. tuberculosis	1773	mouse	10090				
OHPI_9000056	M. tuberculosis mprA mutant interaction with mouse	82	OGG_3000885038	mprA	M. tuberculosis	1773	mouse	10090				
OHPI_9000057	M. tuberculosis dppD mutant interaction with mouse	83	OGG_3000885039	dppD	M. tuberculosis	1773	mouse	10090				
OHPI_9000058	M. tuberculosis PPE31 mutant interaction with mouse	84	OGG_3000885072	PPE31	M. tuberculosis	1773	mouse	10090				
OHPI_9000059	M. tuberculosis pks7 mutant interaction with mouse	85	OGG_3000885108	pks7	M. tuberculosis	1773	mouse	10090				
OHPI_9000060	M. tuberculosis pks10 mutant interaction with mouse	86	OGG_3000885112	pks10	M. tuberculosis	1773	mouse	10090				
